Year,MG,Location,Planting,Yield,VE,R1,R4,R7,R8,Frost Risk month period,Frost Risk month, Frost Risk ratio month,Frost Risk stage period,Frost Risk stage,Frost risk ratio stage,Date of first frost,Comment
2007,3,Nashua,25-Jun,1015.8,30-Jun,7-Aug,29-Aug,NA,NA,91,32,0.352,19,1,0.053,15-Sep,R7
2008,3,Nashua,25-Jun,1907.2,30-Jun,6-Aug,2-Sep,NA,NA,91,28,0.308,47,1,0.021,17-Oct,R7
2009,3,Nashua,25-Jun,1506.2,29-Jun,13-Aug,13-Sep,NA,NA,91,27,0.297,29,2,0.069,10-Oct,R7
2010,3,Nashua,25-Jun,2186.0,30-Jun,5-Aug,25-Aug,NA,NA,91,32,0.352,41,2,0.049,3-Oct,R7
2011,3,Nashua,25-Jun,1189.8,30-Jun,3-Aug,26-Aug,NA,NA,91,27,0.297,22,1,0.045,15-Sep,R7
2012,3,Nashua,25-Jun,1631.3,30-Jun,3-Aug,29-Aug,NA,NA,91,32,0.352,28,2,0.071,24-Sep,R7
2013,3,Nashua,25-Jun,2527.1,29-Jun,9-Aug,1-Sep,NA,NA,91,36,0.396,51,2,0.039,20-Oct,R7
1980,3,Nashua,30-Jun,1324.2,5-Jul,8-Aug,31-Aug,NA,NA,91,33,0.363,29,1,0.034,27-Sep,R7
1981,3,Nashua,30-Jun,1188.9,5-Jul,10-Aug,6-Sep,NA,NA,91,29,0.319,28,1,0.036,2-Oct,R7
1982,3,Nashua,30-Jun,1113.2,5-Jul,8-Aug,4-Sep,NA,NA,91,28,0.308,44,1,0.023,16-Oct,R7
1983,3,Nashua,30-Jun,1499.4,4-Jul,7-Aug,27-Aug,NA,NA,91,24,0.264,29,1,0.034,23-Sep,R7
1984,3,Nashua,30-Jun,1273.1,5-Jul,10-Aug,2-Sep,NA,NA,91,34,0.374,27,1,0.037,27-Sep,R7
1985,3,Nashua,30-Jun,1261.4,5-Jul,11-Aug,7-Sep,NA,NA,91,30,0.330,26,1,0.038,1-Oct,R7
1986,3,Nashua,30-Jun,873.8,5-Jul,10-Aug,9-Sep,NA,NA,91,33,0.363,29,1,0.034,6-Oct,R7
1987,3,Nashua,30-Jun,1363.4,5-Jul,7-Aug,3-Sep,NA,NA,91,38,0.418,32,1,0.031,3-Oct,R7
1988,3,Nashua,30-Jun,1690.9,6-Jul,9-Aug,31-Aug,NA,NA,91,42,0.462,37,2,0.054,5-Oct,R7
1989,3,Nashua,30-Jun,1166.2,4-Jul,9-Aug,1-Sep,NA,NA,91,38,0.418,24,2,0.083,23-Sep,R7
1990,3,Nashua,30-Jun,1749.8,4-Jul,13-Aug,3-Sep,NA,NA,91,32,0.352,39,2,0.051,10-Oct,R7
1991,3,Nashua,30-Jun,936.6,4-Jul,12-Aug,3-Sep,NA,NA,91,36,0.396,18,2,0.111,19-Sep,R7
1992,3,Nashua,30-Jun,400.5,5-Jul,19-Aug,21-Sep,NA,NA,91,33,0.363,11,1,0.091,30-Sep,R7
1993,3,Nashua,30-Jun,1031.1,4-Jul,13-Aug,5-Sep,NA,NA,91,38,0.418,29,1,0.034,2-Oct,R7
1994,3,Nashua,30-Jun,1410.6,5-Jul,17-Aug,14-Sep,NA,NA,91,23,0.253,28,2,0.071,10-Oct,R7
1995,3,Nashua,30-Jun,1093.2,6-Jul,9-Aug,29-Aug,NA,NA,91,40,0.440,26,2,0.077,22-Sep,R7
1996,3,Nashua,30-Jun,1155.6,4-Jul,12-Aug,7-Sep,NA,NA,91,33,0.363,29,1,0.034,4-Oct,R7
1997,3,Nashua,30-Jun,1361.7,6-Jul,12-Aug,9-Sep,NA,NA,91,36,0.396,37,2,0.054,14-Oct,R7
1998,3,Nashua,30-Jun,2203.1,5-Jul,10-Aug,31-Aug,NA,NA,91,21,0.231,46,1,0.022,14-Oct,R7
1999,3,Nashua,30-Jun,1319.1,5-Jul,8-Aug,2-Sep,NA,NA,91,26,0.286,33,1,0.030,4-Oct,R7
2000,3,Nashua,30-Jun,1699.9,5-Jul,11-Aug,3-Sep,NA,NA,91,29,0.319,36,2,0.056,7-Oct,R7
2001,3,Nashua,30-Jun,1473.1,5-Jul,7-Aug,31-Aug,NA,NA,91,18,0.198,38,2,0.053,6-Oct,R7
2002,3,Nashua,30-Jun,1295.4,4-Jul,7-Aug,1-Sep,NA,NA,91,42,0.462,25,1,0.040,24-Sep,R7
2003,3,Nashua,30-Jun,1559.3,4-Jul,11-Aug,31-Aug,NA,NA,91,32,0.352,31,2,0.065,29-Sep,R7
2004,3,Nashua,30-Jun,1067.1,5-Jul,15-Aug,13-Sep,NA,NA,91,25,0.275,22,1,0.045,3-Oct,R7
2005,3,Nashua,30-Jun,1963.7,5-Jul,9-Aug,4-Sep,NA,NA,91,29,0.319,36,2,0.056,8-Oct,R7
2006,3,Nashua,30-Jun,1404.1,4-Jul,7-Aug,31-Aug,NA,NA,91,38,0.418,44,2,0.045,12-Oct,R7
2007,3,Nashua,30-Jun,709.1,5-Jul,10-Aug,1-Sep,NA,NA,91,32,0.352,16,1,0.063,15-Sep,R7
2008,3,Nashua,30-Jun,1545.5,5-Jul,10-Aug,5-Sep,NA,NA,91,28,0.308,44,1,0.023,17-Oct,R7
2009,3,Nashua,30-Jun,1073.3,6-Jul,16-Aug,18-Sep,NA,NA,91,27,0.297,24,2,0.083,10-Oct,R7
2010,3,Nashua,30-Jun,1744.6,5-Jul,8-Aug,29-Aug,NA,NA,91,32,0.352,37,2,0.054,3-Oct,R7
2011,3,Nashua,30-Jun,856.7,4-Jul,6-Aug,30-Aug,NA,NA,91,27,0.297,18,1,0.056,15-Sep,R7
2012,3,Nashua,30-Jun,1286.9,4-Jul,7-Aug,2-Sep,NA,NA,91,32,0.352,24,2,0.083,24-Sep,R7
2013,3,Nashua,30-Jun,2044.6,5-Jul,14-Aug,6-Sep,NA,NA,91,36,0.396,46,2,0.043,20-Oct,R7
1980,3,Nashua,5-May,4096.7,20-May,12-Jul,7-Aug,27-Sep,28-Sep,91,33,0.363,53,1,0.019,27-Sep,success
1981,3,Nashua,5-May,3908.1,20-May,14-Jul,10-Aug,NA,NA,91,29,0.319,55,1,0.018,2-Oct,R7
1982,3,Nashua,5-May,3540.8,13-May,17-Jul,10-Aug,NA,NA,91,28,0.308,69,1,0.014,16-Oct,R7
1983,3,Nashua,5-May,2711.4,19-May,16-Jul,9-Aug,NA,NA,91,24,0.264,47,1,0.021,23-Sep,R7
1984,3,Nashua,5-May,2912.0,18-May,15-Jul,9-Aug,NA,NA,91,34,0.374,51,1,0.020,27-Sep,R7
1985,3,Nashua,5-May,2313.9,11-May,14-Jul,11-Aug,NA,NA,91,30,0.330,53,1,0.019,1-Oct,R7
1986,3,Nashua,5-May,3588.1,12-May,12-Jul,7-Aug,NA,NA,91,33,0.363,62,1,0.016,6-Oct,R7
1987,3,Nashua,5-May,4065.5,11-May,5-Jul,31-Jul,27-Sep,4-Oct,91,38,0.418,66,1,0.015,3-Oct,success
1988,3,Nashua,5-May,1447.9,13-May,7-Jul,2-Aug,19-Sep,2-Oct,91,42,0.462,62,0,0.000,5-Oct,success
1989,3,Nashua,5-May,1292.6,17-May,13-Jul,8-Aug,NA,NA,91,38,0.418,48,2,0.042,23-Sep,R7
1990,3,Nashua,5-May,3828.6,17-May,16-Jul,13-Aug,6-Oct,11-Oct,91,32,0.352,60,2,0.033,10-Oct,success
1991,3,Nashua,5-May,3887.9,13-May,3-Jul,2-Aug,NA,NA,91,36,0.396,50,2,0.040,19-Sep,R7
1992,3,Nashua,5-May,2365.0,13-May,18-Jul,19-Aug,NA,NA,91,33,0.363,44,1,0.023,30-Sep,R7
1993,3,Nashua,5-May,2282.0,11-May,18-Jul,14-Aug,NA,NA,91,38,0.418,51,1,0.020,2-Oct,R7
1994,3,Nashua,5-May,4225.5,15-May,11-Jul,11-Aug,NA,NA,91,23,0.253,62,2,0.032,10-Oct,R7
1995,3,Nashua,5-May,3653.8,17-May,16-Jul,10-Aug,NA,NA,91,40,0.440,45,2,0.044,22-Sep,R7
1996,3,Nashua,5-May,3336.6,19-May,18-Jul,15-Aug,NA,NA,91,33,0.363,52,1,0.019,4-Oct,R7
1997,3,Nashua,5-May,3180.0,20-May,18-Jul,13-Aug,NA,NA,91,36,0.396,64,2,0.031,14-Oct,R7
1998,3,Nashua,5-May,4551.6,14-May,11-Jul,8-Aug,25-Sep,15-Oct,91,21,0.231,69,1,0.014,14-Oct,success
1999,3,Nashua,5-May,3906.4,18-May,14-Jul,8-Aug,NA,NA,91,26,0.286,58,1,0.017,4-Oct,R7
2000,3,Nashua,5-May,3276.3,10-May,14-Jul,11-Aug,NA,NA,91,29,0.319,59,2,0.034,7-Oct,R7
2001,3,Nashua,5-May,3926.9,14-May,15-Jul,7-Aug,NA,NA,91,18,0.198,62,2,0.032,6-Oct,R7
2002,3,Nashua,5-May,0.0,17-May,NA,NA,NA,NA,91,42,0.462,62,2,0.032,24-Sep,failure
2003,3,Nashua,5-May,2775.5,18-May,17-Jul,12-Aug,NA,NA,91,32,0.352,50,2,0.040,29-Sep,R7
2004,3,Nashua,5-May,3331.3,12-May,16-Jul,14-Aug,NA,NA,91,25,0.275,52,1,0.019,3-Oct,R7
2005,3,Nashua,5-May,3908.3,11-May,12-Jul,6-Aug,28-Sep,9-Oct,91,29,0.319,65,2,0.031,8-Oct,success
2006,3,Nashua,5-May,4028.9,20-May,13-Jul,6-Aug,NA,NA,91,38,0.418,69,2,0.029,12-Oct,R7
2007,3,Nashua,5-May,3717.1,12-May,9-Jul,7-Aug,NA,NA,91,32,0.352,41,1,0.024,15-Sep,R7
2008,3,Nashua,5-May,3974.6,18-May,17-Jul,11-Aug,NA,NA,91,28,0.308,69,1,0.014,17-Oct,R7
2009,3,Nashua,5-May,3542.0,19-May,21-Jul,17-Aug,NA,NA,91,27,0.297,56,2,0.036,10-Oct,R7
2010,3,Nashua,5-May,4371.3,22-May,13-Jul,7-Aug,NA,NA,91,32,0.352,59,2,0.034,3-Oct,R7
2011,3,Nashua,5-May,3514.2,12-May,14-Jul,6-Aug,NA,NA,91,27,0.297,42,1,0.024,15-Sep,R7
2012,3,Nashua,5-May,2119.4,14-May,8-Jul,3-Aug,NA,NA,91,32,0.352,54,2,0.037,24-Sep,R7
2013,3,Nashua,5-May,4000.4,16-May,14-Jul,13-Aug,9-Oct,21-Oct,91,36,0.396,70,2,0.029,20-Oct,success
1980,3,Nashua,10-May,4020.4,23-May,13-Jul,8-Aug,NA,NA,91,33,0.363,52,1,0.019,27-Sep,R7
1981,3,Nashua,10-May,3822.2,22-May,14-Jul,11-Aug,NA,NA,91,29,0.319,54,1,0.019,2-Oct,R7
1982,3,Nashua,10-May,3415.7,16-May,18-Jul,12-Aug,NA,NA,91,28,0.308,67,1,0.015,16-Oct,R7
1983,3,Nashua,10-May,2728.0,23-May,17-Jul,9-Aug,NA,NA,91,24,0.264,47,1,0.021,23-Sep,R7
1984,3,Nashua,10-May,2870.2,19-May,15-Jul,10-Aug,NA,NA,91,34,0.374,50,1,0.020,27-Sep,R7
1985,3,Nashua,10-May,2355.6,19-May,17-Jul,13-Aug,NA,NA,91,30,0.330,51,1,0.020,1-Oct,R7
1986,3,Nashua,10-May,3365.5,19-May,15-Jul,9-Aug,NA,NA,91,33,0.363,60,1,0.017,6-Oct,R7
1987,3,Nashua,10-May,4254.8,16-May,8-Jul,2-Aug,1-Oct,4-Oct,91,38,0.418,64,1,0.016,3-Oct,success
1988,3,Nashua,10-May,1495.2,17-May,9-Jul,4-Aug,23-Sep,6-Oct,91,42,0.462,64,2,0.031,5-Oct,success
1989,3,Nashua,10-May,1291.9,18-May,14-Jul,9-Aug,NA,NA,91,38,0.418,47,2,0.043,23-Sep,R7
1990,3,Nashua,10-May,3694.0,25-May,18-Jul,15-Aug,NA,NA,91,32,0.352,58,2,0.034,10-Oct,R7
1991,3,Nashua,10-May,3905.8,15-May,5-Jul,3-Aug,NA,NA,91,36,0.396,49,2,0.041,19-Sep,R7
1992,3,Nashua,10-May,2265.6,17-May,20-Jul,20-Aug,NA,NA,91,33,0.363,43,1,0.023,30-Sep,R7
1993,3,Nashua,10-May,2821.0,22-May,21-Jul,16-Aug,NA,NA,91,38,0.418,49,1,0.020,2-Oct,R7
1994,3,Nashua,10-May,4148.7,18-May,12-Jul,12-Aug,NA,NA,91,23,0.253,61,2,0.033,10-Oct,R7
1995,3,Nashua,10-May,3616.2,21-May,17-Jul,10-Aug,NA,NA,91,40,0.440,45,2,0.044,22-Sep,R7
1996,3,Nashua,10-May,3341.3,20-May,19-Jul,15-Aug,NA,NA,91,33,0.363,52,1,0.019,4-Oct,R7
1997,3,Nashua,10-May,3693.3,24-May,19-Jul,14-Aug,NA,NA,91,36,0.396,63,2,0.032,14-Oct,R7
1998,3,Nashua,10-May,4517.8,16-May,13-Jul,9-Aug,27-Sep,15-Oct,91,21,0.231,68,1,0.015,14-Oct,success
1999,3,Nashua,10-May,3879.0,20-May,15-Jul,8-Aug,NA,NA,91,26,0.286,58,1,0.017,4-Oct,R7
2000,3,Nashua,10-May,3774.7,22-May,17-Jul,14-Aug,NA,NA,91,29,0.319,56,2,0.036,7-Oct,R7
2001,3,Nashua,10-May,3794.9,17-May,17-Jul,9-Aug,NA,NA,91,18,0.198,60,2,0.033,6-Oct,R7
2002,3,Nashua,10-May,4391.4,26-May,13-Jul,7-Aug,NA,NA,91,42,0.462,50,1,0.020,24-Sep,R7
2003,3,Nashua,10-May,2708.0,22-May,18-Jul,13-Aug,NA,NA,91,32,0.352,49,2,0.041,29-Sep,R7
2004,3,Nashua,10-May,3668.6,19-May,18-Jul,17-Aug,NA,NA,91,25,0.275,49,1,0.020,3-Oct,R7
2005,3,Nashua,10-May,4564.8,24-May,14-Jul,8-Aug,2-Oct,9-Oct,91,29,0.319,63,2,0.032,8-Oct,success
2006,3,Nashua,10-May,3921.6,24-May,14-Jul,7-Aug,NA,NA,91,38,0.418,68,2,0.029,12-Oct,R7
2007,3,Nashua,10-May,3594.7,16-May,12-Jul,8-Aug,NA,NA,91,32,0.352,40,1,0.025,15-Sep,R7
2008,3,Nashua,10-May,3913.5,24-May,19-Jul,13-Aug,NA,NA,91,28,0.308,67,1,0.015,17-Oct,R7
2009,3,Nashua,10-May,3445.5,21-May,23-Jul,18-Aug,NA,NA,91,27,0.297,55,2,0.036,10-Oct,R7
2010,3,Nashua,10-May,4359.0,23-May,13-Jul,7-Aug,NA,NA,91,32,0.352,59,2,0.034,3-Oct,R7
2011,3,Nashua,10-May,3907.8,20-May,15-Jul,7-Aug,NA,NA,91,27,0.297,41,1,0.024,15-Sep,R7
2012,3,Nashua,10-May,2132.7,18-May,10-Jul,4-Aug,NA,NA,91,32,0.352,53,2,0.038,24-Sep,R7
2013,3,Nashua,10-May,3943.7,19-May,16-Jul,14-Aug,12-Oct,21-Oct,91,36,0.396,69,2,0.029,20-Oct,success
1980,3,Nashua,15-May,3924.1,25-May,14-Jul,9-Aug,NA,NA,91,33,0.363,51,1,0.020,27-Sep,R7
1981,3,Nashua,15-May,3720.4,23-May,15-Jul,12-Aug,NA,NA,91,29,0.319,53,1,0.019,2-Oct,R7
1982,3,Nashua,15-May,3181.5,21-May,21-Jul,15-Aug,NA,NA,91,28,0.308,64,1,0.016,16-Oct,R7
1983,3,Nashua,15-May,2640.5,27-May,18-Jul,10-Aug,NA,NA,91,24,0.264,46,1,0.022,23-Sep,R7
1984,3,Nashua,15-May,2814.4,22-May,17-Jul,11-Aug,NA,NA,91,34,0.374,49,1,0.020,27-Sep,R7
1985,3,Nashua,15-May,2445.4,24-May,19-Jul,14-Aug,NA,NA,91,30,0.330,50,1,0.020,1-Oct,R7
1986,3,Nashua,15-May,3263.6,27-May,17-Jul,11-Aug,NA,NA,91,33,0.363,58,1,0.017,6-Oct,R7
1987,3,Nashua,15-May,4296.3,20-May,10-Jul,4-Aug,NA,NA,91,38,0.418,62,1,0.016,3-Oct,R7
1988,3,Nashua,15-May,1528.9,22-May,11-Jul,6-Aug,27-Sep,6-Oct,91,42,0.462,62,2,0.032,5-Oct,success
1989,3,Nashua,15-May,1305.7,21-May,15-Jul,11-Aug,NA,NA,91,38,0.418,45,2,0.044,23-Sep,R7
1990,3,Nashua,15-May,3581.0,28-May,19-Jul,16-Aug,NA,NA,91,32,0.352,57,2,0.035,10-Oct,R7
1991,3,Nashua,15-May,3749.6,22-May,9-Jul,6-Aug,NA,NA,91,36,0.396,46,2,0.043,19-Sep,R7
1992,3,Nashua,15-May,1921.9,22-May,23-Jul,23-Aug,NA,NA,91,33,0.363,40,1,0.025,30-Sep,R7
1993,3,Nashua,15-May,2621.0,28-May,23-Jul,18-Aug,NA,NA,91,38,0.418,47,1,0.021,2-Oct,R7
1994,3,Nashua,15-May,3972.9,22-May,15-Jul,14-Aug,NA,NA,91,23,0.253,59,2,0.034,10-Oct,R7
1995,3,Nashua,15-May,3534.4,25-May,18-Jul,11-Aug,NA,NA,91,40,0.440,44,2,0.045,22-Sep,R7
1996,3,Nashua,15-May,3282.7,21-May,19-Jul,16-Aug,NA,NA,91,33,0.363,51,1,0.020,4-Oct,R7
1997,3,Nashua,15-May,3648.4,25-May,19-Jul,15-Aug,NA,NA,91,36,0.396,62,2,0.032,14-Oct,R7
1998,3,Nashua,15-May,4379.1,20-May,15-Jul,11-Aug,30-Sep,15-Oct,91,21,0.231,66,1,0.015,14-Oct,success
1999,3,Nashua,15-May,3729.5,23-May,16-Jul,10-Aug,NA,NA,91,26,0.286,56,1,0.018,4-Oct,R7
2000,3,Nashua,15-May,3657.8,25-May,19-Jul,15-Aug,NA,NA,91,29,0.319,55,2,0.036,7-Oct,R7
2001,3,Nashua,15-May,3721.2,20-May,19-Jul,10-Aug,NA,NA,91,18,0.198,59,2,0.034,6-Oct,R7
2002,3,Nashua,15-May,4348.2,28-May,14-Jul,7-Aug,NA,NA,91,42,0.462,50,1,0.020,24-Sep,R7
2003,3,Nashua,15-May,2613.0,26-May,19-Jul,14-Aug,NA,NA,91,32,0.352,48,2,0.042,29-Sep,R7
2004,3,Nashua,15-May,3494.2,23-May,21-Jul,19-Aug,NA,NA,91,25,0.275,47,1,0.021,3-Oct,R7
2005,3,Nashua,15-May,4487.0,25-May,15-Jul,9-Aug,3-Oct,9-Oct,91,29,0.319,62,2,0.032,8-Oct,success
2006,3,Nashua,15-May,3918.1,24-May,15-Jul,7-Aug,NA,NA,91,38,0.418,68,2,0.029,12-Oct,R7
2007,3,Nashua,15-May,3492.6,22-May,16-Jul,10-Aug,NA,NA,91,32,0.352,38,1,0.026,15-Sep,R7
2008,3,Nashua,15-May,3823.7,27-May,19-Jul,14-Aug,NA,NA,91,28,0.308,66,1,0.015,17-Oct,R7
2009,3,Nashua,15-May,3343.1,23-May,24-Jul,19-Aug,NA,NA,91,27,0.297,54,2,0.037,10-Oct,R7
2010,3,Nashua,15-May,4359.0,23-May,13-Jul,7-Aug,NA,NA,91,32,0.352,59,2,0.034,3-Oct,R7
2011,3,Nashua,15-May,3698.1,24-May,17-Jul,9-Aug,NA,NA,91,27,0.297,39,1,0.026,15-Sep,R7
2012,3,Nashua,15-May,2144.6,21-May,12-Jul,6-Aug,NA,NA,91,32,0.352,51,2,0.039,24-Sep,R7
2013,3,Nashua,15-May,3853.9,20-May,17-Jul,16-Aug,15-Oct,21-Oct,91,36,0.396,67,2,0.030,20-Oct,success
1980,3,Nashua,20-May,3898.1,26-May,15-Jul,9-Aug,NA,NA,91,33,0.363,51,1,0.020,27-Sep,R7
1981,3,Nashua,20-May,3560.6,28-May,17-Jul,13-Aug,NA,NA,91,29,0.319,52,1,0.019,2-Oct,R7
1982,3,Nashua,20-May,2982.3,30-May,23-Jul,17-Aug,NA,NA,91,28,0.308,62,1,0.016,16-Oct,R7
1983,3,Nashua,20-May,2580.0,31-May,19-Jul,11-Aug,NA,NA,91,24,0.264,45,1,0.022,23-Sep,R7
1984,3,Nashua,20-May,2728.8,28-May,20-Jul,12-Aug,NA,NA,91,34,0.374,48,1,0.021,27-Sep,R7
1985,3,Nashua,20-May,2515.9,26-May,20-Jul,16-Aug,NA,NA,91,30,0.330,48,1,0.021,1-Oct,R7
1986,3,Nashua,20-May,3139.7,29-May,18-Jul,13-Aug,NA,NA,91,33,0.363,56,1,0.018,6-Oct,R7
1987,3,Nashua,20-May,4039.8,28-May,14-Jul,7-Aug,NA,NA,91,38,0.418,59,1,0.017,3-Oct,R7
1988,3,Nashua,20-May,1596.8,25-May,13-Jul,7-Aug,30-Sep,6-Oct,91,42,0.462,61,2,0.033,5-Oct,success
1989,3,Nashua,20-May,1400.0,27-May,18-Jul,13-Aug,NA,NA,91,38,0.418,43,2,0.047,23-Sep,R7
1990,3,Nashua,20-May,3460.1,31-May,20-Jul,17-Aug,NA,NA,91,32,0.352,56,2,0.036,10-Oct,R7
1991,3,Nashua,20-May,3660.4,25-May,11-Jul,8-Aug,NA,NA,91,36,0.396,44,2,0.045,19-Sep,R7
1992,3,Nashua,20-May,2248.3,30-May,26-Jul,25-Aug,NA,NA,91,33,0.363,38,1,0.026,30-Sep,R7
1993,3,Nashua,20-May,2599.0,31-May,24-Jul,18-Aug,NA,NA,91,38,0.418,47,1,0.021,2-Oct,R7
1994,3,Nashua,20-May,3762.9,25-May,17-Jul,17-Aug,NA,NA,91,23,0.253,56,2,0.036,10-Oct,R7
1995,3,Nashua,20-May,3357.3,30-May,20-Jul,12-Aug,NA,NA,91,40,0.440,43,2,0.047,22-Sep,R7
1996,3,Nashua,20-May,3118.5,1-Jun,22-Jul,18-Aug,NA,NA,91,33,0.363,49,1,0.020,4-Oct,R7
1997,3,Nashua,20-May,3531.7,1-Jun,21-Jul,16-Aug,NA,NA,91,36,0.396,61,2,0.033,14-Oct,R7
1998,3,Nashua,20-May,4134.4,28-May,19-Jul,14-Aug,NA,NA,91,21,0.231,63,1,0.016,14-Oct,R7
1999,3,Nashua,20-May,3595.7,28-May,18-Jul,11-Aug,NA,NA,91,26,0.286,55,1,0.018,4-Oct,R7
2000,3,Nashua,20-May,3617.7,28-May,21-Jul,15-Aug,NA,NA,91,29,0.319,55,2,0.036,7-Oct,R7
2001,3,Nashua,20-May,3450.2,6-Jun,22-Jul,13-Aug,NA,NA,91,18,0.198,56,2,0.036,6-Oct,R7
2002,3,Nashua,20-May,4263.1,29-May,15-Jul,8-Aug,NA,NA,91,42,0.462,49,1,0.020,24-Sep,R7
2003,3,Nashua,20-May,2471.4,29-May,21-Jul,15-Aug,NA,NA,91,32,0.352,47,2,0.043,29-Sep,R7
2004,3,Nashua,20-May,3396.5,28-May,22-Jul,20-Aug,NA,NA,91,25,0.275,46,1,0.022,3-Oct,R7
2005,3,Nashua,20-May,4362.5,30-May,16-Jul,10-Aug,4-Oct,9-Oct,91,29,0.319,61,2,0.033,8-Oct,success
2006,3,Nashua,20-May,3722.4,26-May,16-Jul,9-Aug,NA,NA,91,38,0.418,66,2,0.030,12-Oct,R7
2007,3,Nashua,20-May,3396.2,26-May,17-Jul,11-Aug,NA,NA,91,32,0.352,37,1,0.027,15-Sep,R7
2008,3,Nashua,20-May,3725.9,31-May,21-Jul,15-Aug,NA,NA,91,28,0.308,65,1,0.015,17-Oct,R7
2009,3,Nashua,20-May,3227.2,27-May,25-Jul,20-Aug,NA,NA,91,27,0.297,53,2,0.038,10-Oct,R7
2010,3,Nashua,20-May,4191.4,25-May,15-Jul,9-Aug,NA,NA,91,32,0.352,57,2,0.035,3-Oct,R7
2011,3,Nashua,20-May,3555.5,29-May,18-Jul,10-Aug,NA,NA,91,27,0.297,38,1,0.026,15-Sep,R7
2012,3,Nashua,20-May,2155.0,26-May,15-Jul,8-Aug,NA,NA,91,32,0.352,49,2,0.041,24-Sep,R7
2013,3,Nashua,20-May,3622.0,30-May,20-Jul,19-Aug,NA,NA,91,36,0.396,64,2,0.031,20-Oct,R7
1980,3,Nashua,25-May,3743.0,29-May,17-Jul,11-Aug,NA,NA,91,33,0.363,49,1,0.020,27-Sep,R7
1981,3,Nashua,25-May,3357.3,1-Jun,19-Jul,15-Aug,NA,NA,91,29,0.319,50,1,0.020,2-Oct,R7
1982,3,Nashua,25-May,2877.9,1-Jun,24-Jul,18-Aug,NA,NA,91,28,0.308,61,1,0.016,16-Oct,R7
1983,3,Nashua,25-May,2556.9,5-Jun,21-Jul,12-Aug,NA,NA,91,24,0.264,44,1,0.023,23-Sep,R7
1984,3,Nashua,25-May,2577.0,4-Jun,22-Jul,14-Aug,NA,NA,91,34,0.374,46,1,0.022,27-Sep,R7
1985,3,Nashua,25-May,2598.6,30-May,23-Jul,18-Aug,NA,NA,91,30,0.330,46,1,0.022,1-Oct,R7
1986,3,Nashua,25-May,3045.0,31-May,19-Jul,14-Aug,NA,NA,91,33,0.363,55,1,0.018,6-Oct,R7
1987,3,Nashua,25-May,3937.1,30-May,16-Jul,8-Aug,NA,NA,91,38,0.418,58,1,0.017,3-Oct,R7
1988,3,Nashua,25-May,1661.0,30-May,16-Jul,10-Aug,NA,NA,91,42,0.462,58,2,0.034,5-Oct,R7
1989,3,Nashua,25-May,1412.2,1-Jun,21-Jul,15-Aug,NA,NA,91,38,0.418,41,2,0.049,23-Sep,R7
1990,3,Nashua,25-May,3399.7,2-Jun,21-Jul,17-Aug,NA,NA,91,32,0.352,56,2,0.036,10-Oct,R7
1991,3,Nashua,25-May,3587.7,29-May,15-Jul,11-Aug,NA,NA,91,36,0.396,41,2,0.049,19-Sep,R7
1992,3,Nashua,25-May,1982.2,4-Jun,29-Jul,27-Aug,NA,NA,91,33,0.363,36,1,0.028,30-Sep,R7
1993,3,Nashua,25-May,2618.2,6-Jun,25-Jul,19-Aug,NA,NA,91,38,0.418,46,1,0.022,2-Oct,R7
1994,3,Nashua,25-May,3501.4,31-May,20-Jul,20-Aug,NA,NA,91,23,0.253,53,2,0.038,10-Oct,R7
1995,3,Nashua,25-May,3212.6,2-Jun,22-Jul,13-Aug,NA,NA,91,40,0.440,42,2,0.048,22-Sep,R7
1996,3,Nashua,25-May,3031.7,8-Jun,24-Jul,19-Aug,NA,NA,91,33,0.363,48,1,0.021,4-Oct,R7
1997,3,Nashua,25-May,3379.2,4-Jun,22-Jul,17-Aug,NA,NA,91,36,0.396,60,2,0.033,14-Oct,R7
1998,3,Nashua,25-May,3938.8,30-May,21-Jul,16-Aug,NA,NA,91,21,0.231,61,1,0.016,14-Oct,R7
1999,3,Nashua,25-May,3393.9,31-May,20-Jul,13-Aug,NA,NA,91,26,0.286,53,1,0.019,4-Oct,R7
2000,3,Nashua,25-May,3436.4,2-Jun,24-Jul,17-Aug,NA,NA,91,29,0.319,53,2,0.038,7-Oct,R7
2001,3,Nashua,25-May,3434.6,7-Jun,22-Jul,13-Aug,NA,NA,91,18,0.198,56,2,0.036,6-Oct,R7
2002,3,Nashua,25-May,4137.3,31-May,16-Jul,9-Aug,NA,NA,91,42,0.462,48,1,0.021,24-Sep,R7
2003,3,Nashua,25-May,2362.7,31-May,22-Jul,16-Aug,NA,NA,91,32,0.352,46,2,0.043,29-Sep,R7
2004,3,Nashua,25-May,3146.3,2-Jun,24-Jul,25-Aug,NA,NA,91,25,0.275,41,1,0.024,3-Oct,R7
2005,3,Nashua,25-May,4246.4,2-Jun,18-Jul,11-Aug,5-Oct,9-Oct,91,29,0.319,60,2,0.033,8-Oct,success
2006,3,Nashua,25-May,3535.1,29-May,18-Jul,11-Aug,NA,NA,91,38,0.418,64,2,0.031,12-Oct,R7
2007,3,Nashua,25-May,3157.0,31-May,20-Jul,13-Aug,NA,NA,91,32,0.352,35,1,0.029,15-Sep,R7
2008,3,Nashua,25-May,3597.7,2-Jun,22-Jul,16-Aug,NA,NA,91,28,0.308,64,1,0.016,17-Oct,R7
